AOA,Beta,Velocity,Cx,Cy,Cz,CL,CDi,CDo,CMx,CMy,CMz
81.0000,0.0000,35.0000,-5.5907,0.0000,1.1173,5.6967,0.1299,0.0990,0.0000,-0.2267,0.0000,
82.0000,0.0000,35.0000,-5.6245,0.0000,1.0236,5.7122,0.1313,0.0996,0.0000,-0.2593,0.0000,
83.0000,0.0000,35.0000,-5.6549,0.0000,0.9282,5.7259,0.1328,0.0994,0.0000,-0.2911,0.0000,
84.0000,0.0000,35.0000,-5.6822,0.0000,0.8318,5.7380,0.1340,0.0993,0.0000,-0.3273,0.0000,
85.0000,0.0000,35.0000,-5.7063,0.0000,0.7335,5.7485,0.1354,0.0980,0.0000,-0.3638,0.0000,
86.0000,0.0000,35.0000,-5.7268,0.0000,0.6339,5.7571,0.1366,0.0963,0.0000,-0.4037,0.0000,
87.0000,0.0000,35.0000,-5.7437,0.0000,0.5357,5.7639,0.1377,0.0966,0.0000,-0.4450,0.0000,
88.0000,0.0000,35.0000,-5.7576,0.0000,0.4370,5.7694,0.1388,0.0970,0.0000,-0.4877,0.0000,
89.0000,0.0000,35.0000,-5.7677,0.0000,0.3372,5.7727,0.1399,0.0966,0.0000,-0.5330,0.0000,
90.0000,0.0000,35.0000,-5.7677,0.0000,0.3372,5.7727,0.1399,0.0966,0.0000,-0.5330,0.0000,

