AOA,Beta,Velocity,Cx,Cy,Cz,CL,CDi,CDo,CMx,CMy,CMz
67.0000,0.0000,33.0000,-3.5586,0.0000,1.7099,3.9438,0.0792,0.1043,0.0000,0.9748,0.0000,
68.0000,0.0000,33.0000,-3.6123,0.0000,1.6610,3.9715,0.0810,0.1059,0.0000,0.9176,0.0000,
69.0000,0.0000,33.0000,-3.6647,0.0000,1.6090,3.9979,0.0826,0.1062,0.0000,0.8588,0.0000,
70.0000,0.0000,33.0000,-3.7173,0.0000,1.5556,4.0252,0.0844,0.1060,0.0000,0.7794,0.0000,
71.0000,0.0000,33.0000,-3.7630,0.0000,1.4994,4.0461,0.0861,0.1065,0.0000,0.7120,0.0000,
72.0000,0.0000,33.0000,-3.8097,0.0000,1.4423,4.0689,0.0877,0.1067,0.0000,0.6446,0.0000,
73.0000,0.0000,33.0000,-3.8542,0.0000,1.3841,4.0904,0.0894,0.1074,0.0000,0.5758,0.0000,
74.0000,0.0000,33.0000,-3.8962,0.0000,1.3260,4.1108,0.0910,0.1097,0.0000,0.5060,0.0000,
75.0000,0.0000,33.0000,-3.9368,0.0000,1.2643,4.1298,0.0925,0.1098,0.0000,0.4322,0.0000,
76.0000,0.0000,33.0000,-3.9748,0.0000,1.2028,4.1477,0.0941,0.1114,0.0000,0.3639,0.0000,
77.0000,0.0000,33.0000,-4.0116,0.0000,1.1389,4.1649,0.0956,0.1117,0.0000,0.3175,0.0000,
78.0000,0.0000,33.0000,-4.0448,0.0000,1.0736,4.1797,0.0971,0.1120,0.0000,0.2306,0.0000,
79.0000,0.0000,33.0000,-4.0766,0.0000,1.0069,4.1938,0.0986,0.1120,0.0000,0.1680,0.0000,
80.0000,0.0000,33.0000,-4.1066,0.0000,0.9392,4.2073,0.0999,0.1120,0.0000,0.1340,0.0000,
81.0000,0.0000,33.0000,-4.1333,0.0000,0.8681,4.2183,0.1014,0.1095,0.0000,0.0500,0.0000,
82.0000,0.0000,33.0000,-4.1579,0.0000,0.7987,4.2286,0.1027,0.1095,0.0000,-0.0050,0.0000,
83.0000,0.0000,33.0000,-4.1799,0.0000,0.7300,4.2377,0.1041,0.1111,0.0000,-0.0594,0.0000,
84.0000,0.0000,33.0000,-4.1999,0.0000,0.6561,4.2455,0.1054,0.1081,0.0000,-0.1084,0.0000,
85.0000,0.0000,33.0000,-4.2171,0.0000,0.5848,4.2521,0.1066,0.1084,0.0000,-0.1649,0.0000,
86.0000,0.0000,33.0000,-4.2319,0.0000,0.5127,4.2573,0.1078,0.1084,0.0000,-0.2201,0.0000,
87.0000,0.0000,33.0000,-4.2441,0.0000,0.4405,4.2614,0.1090,0.1088,0.0000,-0.2687,0.0000,
88.0000,0.0000,33.0000,-4.2539,0.0000,0.3680,4.2641,0.1101,0.1092,0.0000,-0.3197,0.0000,
89.0000,0.0000,33.0000,-4.2611,0.0000,0.2945,4.2656,0.1112,0.1088,0.0000,-0.3657,0.0000,
90.0000,0.0000,33.0000,-4.2611,0.0000,0.2945,4.2656,0.1112,0.1088,0.0000,-0.3657,0.0000,
